Group,Type,Sample,Source,CPM,UNK
G,Mouse,Organ,Heart,62,195.65
G,Mouse,Organ,Heart,73,221.74
G,Mouse,Organ,Heart,74,198.82
H,Mouse,Organ,Heart,35,163.19
H,Mouse,Organ,Heart,36,64.55
H,Mouse,Organ,Heart,33,71.83
H,Mouse,Organ,Heart,32,126.92
I,Mouse,Organ,Heart,40,156.02
I,Mouse,Organ,Heart,46,115.01
I,Mouse,Organ,Heart,36,91.17
I,Mouse,Organ,Heart,60,163.62
J,Mouse,Organ,Heart,43,185.78
J,Mouse,Organ,Heart,51,193.65
J,Mouse,Organ,Heart,47,159.57
J,Mouse,Organ,Heart,47,150.84
F,Mouse,Organ,Lungs,49,259.54
F,Mouse,Organ,Lungs,137,218.77
F,Mouse,Organ,Lungs,68,132.58
F,Mouse,Organ,Lungs,105,175.58
G,Mouse,Organ,Lungs,81,203.58
G,Mouse,Organ,Lungs,178,206
G,Mouse,Organ,Lungs,110,196.68
G,Mouse,Organ,Lungs,120,186.96
H,Mouse,Organ,Lungs,54,183.38
H,Mouse,Organ,Lungs,95,184.85
H,Mouse,Organ,Lungs,44,165.32
H,Mouse,Organ,Lungs,58,142.05
I,Mouse,Organ,Lungs,70,190.58
I,Mouse,Organ,Lungs,82,180.47
I,Mouse,Organ,Lungs,41,118.45
I,Mouse,Organ,Lungs,99,194.87
J,Mouse,Organ,Lungs,105,200.41
J,Mouse,Organ,Lungs,121,216.69
J,Mouse,Organ,Lungs,86,223.84
J,Mouse,Organ,Lungs,161,221.06
F,Mouse,Organ,Kidneys,169,235.71
F,Mouse,Organ,Kidneys,125,229.52
F,Mouse,Organ,Kidneys,143,206.5
F,Mouse,Organ,Kidneys,159,242.01
G,Mouse,Organ,Kidneys,206,228.42
G,Mouse,Organ,Kidneys,234,232.73
G,Mouse,Organ,Kidneys,241,217.15
G,Mouse,Organ,Kidneys,238,237.21
H,Mouse,Organ,Kidneys,156,217.26
H,Mouse,Organ,Kidneys,143,233.33
H,Mouse,Organ,Kidneys,139,205.61
H,Mouse,Organ,Kidneys,163,193.58
I,Mouse,Organ,Kidneys,290,224.31
I,Mouse,Organ,Kidneys,284,230.5
I,Mouse,Organ,Kidneys,133,193.41
I,Mouse,Organ,Kidneys,350,243.17
J,Mouse,Organ,Kidneys,196,220.26
J,Mouse,Organ,Kidneys,254,226.4
J,Mouse,Organ,Kidneys,252,173.46
J,Mouse,Organ,Kidneys,151,220.04
F,Mouse,Organ,Spleen,55,150.91
F,Mouse,Organ,Spleen,43,207.73
F,Mouse,Organ,Spleen,63,172.65
F,Mouse,Organ,Spleen,70,190.17
G,Mouse,Organ,Spleen,48,155.85
G,Mouse,Organ,Spleen,57,176.1
G,Mouse,Organ,Spleen,26,0
G,Mouse,Organ,Spleen,60,180.59
H,Mouse,Organ,Spleen,164,221.52
H,Mouse,Organ,Spleen,31,72.02
H,Mouse,Organ,Spleen,27,0
H,Mouse,Organ,Spleen,32,10.35
I,Mouse,Organ,Spleen,62,195.54
I,Mouse,Organ,Spleen,65,147.83
I,Mouse,Organ,Spleen,23,9.63
I,Mouse,Organ,Spleen,70,197.45
J,Mouse,Organ,Spleen,39,133.77
J,Mouse,Organ,Spleen,96,189.57
J,Mouse,Organ,Spleen,56,230.95
J,Mouse,Organ,Spleen,36,149.84
F,Mouse,Organ,Liver,8036,262.18
F,Mouse,Organ,Liver,8329,261.97
F,Mouse,Organ,Liver,8370,264.27
F,Mouse,Organ,Liver,4719,259.06
G,Mouse,Organ,Liver,14990,254.57
G,Mouse,Organ,Liver,13432,271.26
G,Mouse,Organ,Liver,17505,263.5
G,Mouse,Organ,Liver,17195,264.56
H,Mouse,Organ,Liver,8012,263.67
H,Mouse,Organ,Liver,6687,270.69
H,Mouse,Organ,Liver,6373,270.94
H,Mouse,Organ,Liver,4893,268.21
I,Mouse,Organ,Liver,17497,262.47
I,Mouse,Organ,Liver,13045,261.56
I,Mouse,Organ,Liver,6312,265.2
I,Mouse,Organ,Liver,14731,263.84
J,Mouse,Organ,Liver,14581,269.68
J,Mouse,Organ,Liver,12474,264.88
J,Mouse,Organ,Liver,8967,259.27
J,Mouse,Organ,Liver,12227,263.21
F,Mouse,Organ,ART,1586,209.35
F,Mouse,Organ,ART,1629,248.27
F,Mouse,Organ,ART,1873,242.64
F,Mouse,Organ,ART,1851,224.61
G,Mouse,Organ,ART,1608,219.23
G,Mouse,Organ,ART,5052,244.99
G,Mouse,Organ,ART,1392,234.78
G,Mouse,Organ,ART,2025,220.23
H,Mouse,Organ,ART,1718,233.31
H,Mouse,Organ,ART,1006,221.04
H,Mouse,Organ,ART,1504,255.21
H,Mouse,Organ,ART,1460,255.75
I,Mouse,Organ,ART,1984,260.01
I,Mouse,Organ,ART,1197,238.92
I,Mouse,Organ,ART,2057,225.52
I,Mouse,Organ,ART,2003,247.79
J,Mouse,Organ,ART,2022,213.07
J,Mouse,Organ,ART,2672,268.21
J,Mouse,Organ,ART,1718,265.45
F,Mouse,Organ,Soft,50,224.21
F,Mouse,Organ,Soft,60,224.41
F,Mouse,Organ,Soft,64,266.12
F,Mouse,Organ,Soft,58,170.64
G,Mouse,Organ,Soft,75,209.12
G,Mouse,Organ,Soft,87,224.93
G,Mouse,Organ,Soft,93,234.81
G,Mouse,Organ,Soft,63,132.28
H,Mouse,Organ,Soft,49,208.01
H,Mouse,Organ,Soft,89,218.07
H,Mouse,Organ,Soft,44,138.52
H,Mouse,Organ,Soft,36,223.8
I,Mouse,Organ,Soft,85,211.95
I,Mouse,Organ,Soft,79,253.76
I,Mouse,Organ,Soft,43,119.45
I,Mouse,Organ,Soft,93,255.45
J,Mouse,Organ,Soft,82,209.35
J,Mouse,Organ,Soft,74,242.57
J,Mouse,Organ,Soft,80,218.54
J,Mouse,Organ,Soft,68,241.77
F,Mouse,Organ,Skel,265,208.75
F,Mouse,Organ,Skel,230,200.01
F,Mouse,Organ,Skel,212,184.09
F,Mouse,Organ,Skel,221,177.74
G,Mouse,Organ,Skel,494,196.29
G,Mouse,Organ,Skel,426,215.78
G,Mouse,Organ,Skel,477,229.14
G,Mouse,Organ,Skel,415,217.68
H,Mouse,Organ,Skel,220,184.33
H,Mouse,Organ,Skel,276,212.22
H,Mouse,Organ,Skel,265,186.21
H,Mouse,Organ,Skel,217,209.93
I,Mouse,Organ,Skel,352,216.91
I,Mouse,Organ,Skel,437,223.23
I,Mouse,Organ,Skel,254,206.38
I,Mouse,Organ,Skel,398,208.34
J,Mouse,Organ,Skel,344,217.02
J,Mouse,Organ,Skel,453,217.86
J,Mouse,Organ,Skel,358,215.97
J,Mouse,Organ,Skel,354,211.26
Background,Background,Background,Background,27,585.86
K,Mouse,Organ,Thymus,5,0
K,Mouse,Organ,Thymus,10,60.72
